StartPoint,EndPoint,Distance,net_length
53,55,20.00000000052,0.0
53,56,30.00000000014,0.0
53,57,40.00000000104,0.0
53,58,50.00000000089,0.0
53,59,60.00000000074,0.0
53,60,70.00000000059,0.0
53,61,80.00000000069001,0.0
53,62,90.00000000089001,0.0
53,63,100.00000000139,0.0
53,64,110.00000000050001,0.0
53,65,120.0000000011,0.0
53,66,130.00000000072,0.0
53,67,140.00000000057,0.0
53,68,150.00000000066998,0.0
53,69,160.00000000087,0.0
53,70,170.00000000008998,0.0
53,71,180.00000000089,0.0
53,72,190.00000000085,0.0
53,73,200.00000000081002,0.0
53,74,210.00000000141003,0.0
53,75,220.00000000231003,0.0
53,76,230.00000000091003,0.0
53,77,240.00000000101002,0.0
53,78,250.00000000034004,0.0
53,79,260.00000000134,0.0
53,80,270.00000000011005,0.0
53,81,280.00000000071003,0.0
53,82,290.00000000056,0.0
53,83,300.00000000096003,0.0
53,84,310.00000000136004,0.0
53,85,320.00000000087005,0.0
53,86,330.00000000127005,0.0
53,87,340.00000000117006,0.0
53,88,350.0000000005601,0.0
53,89,360.00000000076005,0.0
53,90,370.00000000066007,0.0
53,91,380.00000000156007,0.0
53,92,390.0000000019601,0.0
53,93,399.9999999993201,0.0
53,94,410.0000000017201,0.0
53,95,420.0000000010001,0.0
53,96,430.0000000015001,0.0
53,97,440.0000000015001,0.0
53,98,450.0000000014001,0.0
53,99,460.0000000009101,0.0
53,100,470.00000000019014,0.0
54,50,39.99999999952,0.0
54,51,29.999999997320003,0.0
54,52,19.999999998950003,0.0
54,53,9.99999999962,0.0
54,55,10.0000000009,0.0
54,56,20.00000000052,0.0
54,57,30.00000000142,0.0
54,58,40.000000001269996,0.0
54,59,50.00000000112,0.0
54,60,60.000000000970005,0.0
54,61,70.00000000107,0.0
54,62,80.00000000127001,0.0
54,63,90.00000000177,0.0
54,64,100.00000000088001,0.0
54,65,110.00000000148,0.0
54,66,120.0000000011,0.0
54,67,130.00000000095,0.0
54,68,140.00000000104998,0.0
54,69,150.00000000125,0.0
54,70,160.00000000046998,0.0
54,71,170.00000000127,0.0
54,72,180.00000000123,0.0
54,73,190.00000000119002,0.0
54,74,200.00000000179003,0.0
54,75,210.00000000269003,0.0
54,76,220.00000000129003,0.0
54,77,230.00000000139002,0.0
54,78,240.00000000072004,0.0
54,79,250.00000000172003,0.0
54,80,260.00000000049005,0.0
54,81,270.00000000109003,0.0
54,82,280.00000000094,0.0
54,83,290.00000000134,0.0
54,84,300.00000000174003,0.0
54,85,310.00000000125004,0.0
54,86,320.00000000165005,0.0
54,87,330.00000000155006,0.0
54,88,340.0000000009401,0.0
54,89,350.00000000114005,0.0
54,90,360.00000000104006,0.0
54,91,370.00000000194007,0.0
54,92,380.0000000023401,0.0
54,93,389.9999999997001,0.0
54,94,400.0000000021001,0.0
54,95,410.0000000013801,0.0
54,96,420.0000000018801,0.0
54,97,430.0000000018801,0.0
54,98,440.0000000017801,0.0
54,99,450.0000000012901,0.0
54,100,460.00000000057014,0.0
55,50,50.00000000042,0.0
55,51,39.999999998220005,0.0
55,52,29.99999999985,0.0
55,53,20.00000000052,0.0
55,54,10.0000000009,0.0
55,56,9.99999999962,0.0
55,57,20.00000000052,0.0
55,58,30.00000000037,0.0
55,59,40.00000000022,0.0
55,60,50.00000000007,0.0
55,61,60.000000000170004,0.0
55,62,70.00000000037001,0.0
55,63,80.00000000087,0.0
55,64,89.99999999998,0.0
55,65,100.00000000058,0.0
55,66,110.0000000002,0.0
55,67,120.00000000005001,0.0
55,68,130.00000000015,0.0
55,69,140.00000000035,0.0
55,70,149.99999999957,0.0
55,71,160.00000000037,0.0
55,72,170.00000000033,0.0
55,73,180.00000000029002,0.0
55,74,190.00000000089003,0.0
55,75,200.00000000179003,0.0
55,76,210.00000000039003,0.0
55,77,220.00000000049002,0.0
55,78,229.99999999982003,0.0
55,79,240.00000000082002,0.0
55,80,249.99999999959002,0.0
55,81,260.00000000019,0.0
55,82,270.00000000004,0.0
55,83,280.00000000044,0.0
55,84,290.00000000084003,0.0
55,85,300.00000000035004,0.0
55,86,310.00000000075005,0.0
55,87,320.00000000065006,0.0
55,88,330.0000000000401,0.0
55,89,340.00000000024005,0.0
55,90,350.00000000014006,0.0
55,91,360.00000000104006,0.0
55,92,370.00000000144007,0.0
55,93,379.9999999988001,0.0
55,94,390.0000000012001,0.0
55,95,400.0000000004801,0.0
55,96,410.0000000009801,0.0
55,97,420.0000000009801,0.0
55,98,430.0000000008801,0.0
55,99,440.0000000003901,0.0
55,100,449.99999999967014,0.0
56,50,60.000000000040004,0.0
56,51,49.99999999784,0.0
56,52,39.99999999947,0.0
56,53,30.00000000014,0.0
56,54,20.00000000052,0.0
56,55,9.99999999962,0.0
56,57,10.0000000009,0.0
56,58,20.00000000075,0.0
56,59,30.0000000006,0.0
56,60,40.00000000045,0.0
56,61,50.00000000055,0.0
56,62,60.000000000750006,0.0
56,63,70.00000000125,0.0
56,64,80.00000000036,0.0
56,65,90.00000000096,0.0
56,66,100.00000000058,0.0
56,67,110.00000000043,0.0
56,68,120.00000000053001,0.0
56,69,130.00000000073,0.0
56,70,139.99999999995,0.0
56,71,150.00000000075,0.0
56,72,160.00000000071,0.0
56,73,170.00000000067,0.0
56,74,180.00000000127002,0.0
56,75,190.00000000217003,0.0
56,76,200.00000000077003,0.0
56,77,210.00000000087002,0.0
56,78,220.00000000020003,0.0
