Id,XX,YY
220,614282.04406300000,1190293.91451000000
221,614291.05823400000,1190298.24403000000
222,614300.07240400000,1190302.57355000000
223,614309.08657500000,1190306.90307000000
224,614318.10074500000,1190311.23258000000
225,614327.11491600000,1190315.56210000000
226,614336.12908600000,1190319.89162000000
227,614345.14325700000,1190324.22114000000
228,614354.15742700000,1190328.55066000000
229,614363.17159700000,1190332.88018000000
230,614372.18576800000,1190337.20970000000
231,614381.19993800000,1190341.53921000000
232,614390.21410900000,1190345.86873000000
233,614399.22827900000,1190350.19825000000
234,614408.24245000000,1190354.52777000000
235,614417.25662000000,1190358.85729000000
236,614426.27079000000,1190363.18681000000
237,614435.28496100000,1190367.51633000000
238,614444.29913100000,1190371.84584000000
239,614453.31330200000,1190376.17536000000
240,614462.32747200000,1190380.50488000000
241,614471.34164300000,1190384.83440000000
242,614480.35581300000,1190389.16392000000
243,614489.36998400000,1190393.49344000000
244,614498.38415400000,1190397.82296000000
245,614507.39832400000,1190402.15247000000
246,614516.41249500000,1190406.48199000000
247,614525.42666500000,1190410.81151000000
248,614534.44083600000,1190415.14103000000
249,614543.45500600000,1190419.47055000000
250,614552.46917700000,1190423.80007000000
251,614561.48334700000,1190428.12959000000
252,614570.49751800000,1190432.45911000000
253,614579.51168800000,1190436.78862000000
254,614588.52585800000,1190441.11814000000
255,614597.54002900000,1190445.44766000000
256,614606.55419900000,1190449.77718000000
257,614614.11123300000,1190455.60500000000
258,614618.69014800000,1190464.49508000000
259,614623.26906300000,1190473.38516000000
260,614627.84797800000,1190482.27524000000
261,614632.42689300000,1190491.16533000000
262,614637.00580800000,1190500.05541000000
263,614641.58472300000,1190508.94549000000
264,614646.16363800000,1190517.83557000000
265,614650.74255300000,1190526.72565000000
266,614655.32146800000,1190535.61573000000
267,614659.90038300000,1190544.50581000000
268,614664.47929800000,1190553.39589000000
269,614669.05821300000,1190562.28597000000
270,614673.63712800000,1190571.17605000000
271,614678.21604300000,1190580.06613000000
272,614682.79495800000,1190588.95621000000
273,614687.25690200000,1190597.90416000000
274,614691.54434400000,1190606.93842000000
275,614695.83178700000,1190615.97267000000
276,614700.11922900000,1190625.00693000000
277,614704.40667200000,1190634.04119000000
278,614708.69411400000,1190643.07545000000
279,614712.98155600000,1190652.10971000000
280,614717.26899900000,1190661.14397000000
281,614721.55644100000,1190670.17823000000
282,614718.93043100000,1190679.01802000000
283,614714.93297500000,1190687.88219000000
284,614717.74196500000,1190697.47956000000
285,614720.55095500000,1190707.07694000000
286,614723.35994500000,1190716.67431000000
287,614726.16893600000,1190726.27168000000
288,614728.97792600000,1190735.86906000000
289,614731.78691600000,1190745.46643000000
290,614734.59590600000,1190755.06380000000
291,614737.40489600000,1190764.66118000000
292,614740.21388600000,1190774.25855000000
293,614743.02287600000,1190783.85592000000
294,614745.83186600000,1190793.45330000000
295,614741.98767400000,1190802.05475000000
296,614736.49151200000,1190810.40893000000
297,614730.99535100000,1190818.76310000000
298,614725.49918900000,1190827.11727000000
299,614720.00302700000,1190835.47144000000
300,614714.50686500000,1190843.82562000000
301,614707.77656900000,1190851.17432000000
302,614700.70549200000,1190858.24537000000
303,614693.63441500000,1190865.31643000000
304,614686.56333800000,1190872.38749000000
